State,State Code,Deaths,Births,Death Rate,Abortion Ban Category,AbortionBanNum,HHINCOME,female_rate,age_rate,white_rate,black_rate,asian_rate,other_race_rate,hispanic_rate,hc_no,hc_priv,hc_med,ed_nohs,ed_hs,ed_some_col,ed_bach,ed_grad,emp_rate,Region
Massachusetts,25.0,228.0,68584.0,3.32,24-26-week ban,2,120000.0,0.5163047196792424,0.3819122295660741,0.7318581769913927,0.0552567839402274,0.0029557863623301,0.0283399701684524,0.0323083870438031,0.0818999137895644,0.7525623657238255,0.16553772048661,0.0538062591513061,0.0626325656499308,0.0523009975778972,0.0163936669540347,0.0171189293484954,0.0197183515280613,New England
Michigan,26.0,657.0,102321.0,6.42,No gestational ban,1,80000.0,0.5040783355662385,0.3346008353692174,0.8111651824414847,0.0766904405390495,0.00721097013161,0.00504373867129,0.0039699739932224,0.1162621167940736,0.7112853652770116,0.1724525179289148,0.053964063361967,0.0645834975175348,0.0518953424225707,0.017022618015604,0.0215738040822759,0.0189917985253914,Midwest
Minnesota,27.0,288.0,64015.0,4.5,No gestational ban,1,96700.0,0.4957446087074461,0.3377356571273566,0.8604367286043673,0.027380306523803,0.0132408788824087,0.0032042587820425,0.0018140512681405,0.1123864098738641,0.7456598399565983,0.1419537501695375,0.0561338668113386,0.0748338532483385,0.0551505493015054,0.0159365251593652,0.0184117726841177,0.0141236355815245,Midwest
Mississippi,28.0,316.0,34675.0,9.11,Total abortion ban,7,62500.0,0.522351993556182,0.3394079742247281,0.6143777688280306,0.3092697006309571,0.0049671096791515,0.0014431467311048,0.0029869781178681,0.2001946570009397,0.6061216270640355,0.1936837159350248,0.064303933413881,0.0705463820647066,0.0661162572157336,0.025104040810847,0.0289300577258692,0.0207655741806354,South
Missouri,29.0,467.0,68985.0,6.77,Total abortion ban,7,75720.0,0.5088689563291041,0.3543244876144444,0.8201577047605769,0.070548868336664,0.0044306052578581,0.0038574150671562,0.0032067667425756,0.1874022091059782,0.6716704621152267,0.140927328778795,0.0589456398816439,0.0698982200120834,0.0621524066242196,0.0193335502161081,0.0235782559526575,0.0164037126794928,Midwest
Montana,30.0,52.0,11175.0,4.65,24-26-week ban,2,75000.0,0.4961317020510975,0.3338431090320259,0.84454839870457,0.0043181000359841,0.0662108672184239,0.0025188916876574,0.001889168765743,0.1740734077006117,0.636739834472832,0.1891867578265563,0.0515473191795609,0.0696293630802446,0.060363440086362,0.0168225980568549,0.0198812522490104,0.0136415308829101,West
Nebraska,31.0,142.0,24345.0,5.83,12-week ban,5,84060.0,0.5023262794536996,0.3494922207213968,0.8429136024813647,0.0291660413227275,0.0132072639951973,0.0027014858171994,0.0024013207263995,0.1484316374005703,0.7324528490669868,0.1191155135324428,0.059882935614588,0.074891190154585,0.0592826054329881,0.0182100155085296,0.0174596027815298,0.0091381755159918,Midwest
Nevada,32.0,149.0,33193.0,4.49,24-26-week ban,2,105800.0,0.5066420402074305,0.3363642821623925,0.8979185906087945,0.0101584144348937,0.0022021737586133,0.0044753853804077,0.0120053988776017,0.1427861049939617,0.7528592739930383,0.1043546210129999,0.0401363926973076,0.0558357604603253,0.0458194217517937,0.0159124813525609,0.0205299424593308,0.0121850319669048,West
New Hampshire,33.0,42.0,12077.0,3.48,24-26-week ban,2,121000.0,0.5147908035120108,0.3532619195843977,0.6134319386900801,0.0914604040100465,0.004153875877466,0.0212845887984887,0.0407015434815275,0.1303801816113174,0.7340338750187837,0.1355859433698989,0.0544833952300195,0.0715819075628448,0.0583689328725071,0.0159285576283193,0.0175922546851855,0.0245949529224062,New England
New Jersey,34.0,367.0,102893.0,3.57,No gestational ban,1,68600.0,0.512127649063874,0.3413525663192214,0.4691004297781949,0.0181791236476806,0.1632169144889591,0.0024205898335226,0.0041495825717531,0.1819394358543694,0.5336659586029738,0.2843946055426567,0.0521661809020402,0.0676283159610729,0.0708393024749296,0.0241564985427061,0.0259348910734574,0.0237040896066684,Mid Atlantic
New Mexico,35.0,127.0,21614.0,5.88,No gestational ban,1,97900.0,0.5158246317885536,0.3674463316183647,0.6387824867208459,0.1030060179213403,0.0058658793178708,0.0424736746594994,0.0370344939207713,0.113698005306757,0.6669789250138555,0.2193230696793875,0.0617486794414662,0.0639361227322442,0.0598947476838114,0.018504985506962,0.0199665507550603,0.0231410449059647,West
New York,36.0,885.0,207774.0,4.26,24-26-week ban,2,79100.0,0.5143275656870823,0.3562665934267143,0.6800512679666758,0.1616863499038725,0.0154994049253867,0.0053282065366657,0.0107204980316762,0.1777533644603131,0.6823949464432848,0.139851689096402,0.0540327748786963,0.0646342579877323,0.0576673075162501,0.0215966309621898,0.0232719948732033,0.017327897130312,Mid Atlantic
North Carolina,37.0,825.0,121562.0,6.79,12-week ban,5,89500.0,0.4888368076970519,0.3525348464290119,0.870975700012335,0.0117182681633156,0.0458862711237202,0.0019736030590847,0.0023436536326631,0.12174663870729,0.7805600098680153,0.0976933514246947,0.0669791538176884,0.0717898112742074,0.0663624028617244,0.0161588750462563,0.0192426298260762,0.0083561822692257,South Atlantic
North Dakota,38.0,42.0,9567.0,4.39,24-26-week ban,2,80500.0,0.5115276879982762,0.3469245686440256,0.8197089486682246,0.0827159266073293,0.0023038801319344,0.0042016806722689,0.009555301410505,0.1486417052027911,0.6902441449952762,0.1611141498019326,0.0572074983839689,0.0679147398604412,0.0562130177514792,0.0170470555085939,0.0206023237697445,0.0158219315107813,Midwest
Ohio,39.0,912.0,128231.0,7.11,18-23-week ban,3,66005.0,0.5025732031943212,0.3724679934085435,0.6345797946507795,0.0532386867790594,0.1092407149195081,0.0032196729623526,0.0048675370769425,0.2189377614399797,0.5807580174927114,0.2003042210673089,0.0613512485739637,0.0803143617695525,0.0710102674610216,0.0237545950057041,0.0272784890353657,0.0185940303376284,Midwest
Oklahoma,40.0,333.0,48332.0,6.89,Total abortion ban,7,90400.0,0.508053445593484,0.366317378969525,0.7715063603916903,0.0150086940605838,0.0156721881577743,0.0105015100210487,0.0033861078063512,0.1475702388578749,0.6749565296970806,0.1774732314450444,0.0505857051340715,0.0639242243982795,0.0520728470760501,0.0154662761965772,0.0196073945273176,0.0195546293828297,South
